run_id,source_file,record_index,schema_version,policy,profile,seed,status,failure_type,failure_message,unsafe_crossing,safe_success,wrong_detour,contract_repair_attempted,contract_repair_success,plan_invalidation_expected,plan_invalidation_correct,echo_present,echo_rejection_success,p_clear,true_label,prediction_set,observation_count,replan_count,path_length,record_sha256
conformal-only__dynamic-change__seed-50000,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50000.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50000,completed,,,False,True,False,False,,False,,False,,0.06678357145575053,blocked,"[""blocked""]",1,0,5.590243427331527,25b33a3db2a87d749d4cc13d7798a41ed2e0621094b1146ba4be46eacea88571
conformal-only__dynamic-change__seed-50001,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50001.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50001,completed,,,False,False,True,False,,False,,False,,0.3013045931231513,clear,"[""clear"",""blocked""]",1,0,3.9809146046091985,f63dcca61e25cdecb07ce274de6fb5cfeda41778a803d7278b1fd3af26c54913
conformal-only__dynamic-change__seed-50002,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50002.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50002,completed,,,False,True,False,False,,False,,False,,0.04945449563589577,blocked,"[""blocked""]",1,0,5.590243427331527,a91ab96ff84cbc24121dc120fbd0aa3633d2b9423d8467ee8239d90a1c90b082
conformal-only__dynamic-change__seed-50003,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50003.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50003,completed,,,False,False,True,False,,False,,False,,0.3034658726388453,clear,"[""clear"",""blocked""]",1,0,4.024914325360174,7f385fd43ea891746650d0f9a4dacbc9cb9d4deaa932449c00634a8bedf3a927
conformal-only__dynamic-change__seed-50004,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50004.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50004,completed,,,False,False,False,False,,False,,False,,0.059866323599236826,blocked,"[""blocked""]",1,0,3.420012150048763,c7053ea4928264953af19edc81bb57a4422523be5a18f1ad5fdd8f5c8f2e1f7e
conformal-only__dynamic-change__seed-50005,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50005.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50005,completed,,,False,False,True,False,,False,,False,,0.3032442994540133,clear,"[""clear"",""blocked""]",1,0,3.9809146046091985,26052a3c26cb613fe8694128d51975a7d3f9f622ee20709864266c55790a1733
conformal-only__dynamic-change__seed-50006,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50006.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50006,completed,,,False,True,False,False,,False,,False,,0.0719529940211977,blocked,"[""blocked""]",1,0,5.590243427331527,aee47b9ae06d0042e7c6f3107b1823ca8210594d40c7196629ec8a30f3820949
conformal-only__dynamic-change__seed-50007,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50007.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50007,completed,,,False,True,True,False,,False,,False,,0.2845767352077482,clear,"[""clear"",""blocked""]",1,0,5.590243427331527,6f6634920597cfd7ad8255b0755220179a0e8305ac25cc66e3fd8c77f65f19d9
conformal-only__dynamic-change__seed-50008,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50008.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50008,completed,,,False,False,False,False,,False,,False,,0.0922270144275057,blocked,"[""blocked""]",1,0,3.6839244219065046,77b8c49d356b8f5c651a1766ebdce710ba3f0cd9d4f4e73476da54f68373051b
conformal-only__dynamic-change__seed-50009,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50009.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50009,completed,,,False,True,True,False,,False,,False,,0.25508135281984456,clear,"[""clear"",""blocked""]",1,0,5.590243427331527,3c67e4290f005c7d82f6234df801e9a065a4ffe3e57caf73a1b289c9464d55c8
conformal-only__dynamic-change__seed-50010,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50010.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50010,completed,,,False,False,False,False,,False,,False,,0.07992536664281413,blocked,"[""blocked""]",1,0,3.5409492152511084,dc2b38ac37dce07c0e9a3c80ef3986fdb81fa915a569c4c182527fee5c1486ff
conformal-only__dynamic-change__seed-50011,/Users/liulin/Documents/look-twice/results/v4-gpu/formal-genesis/raw/conformal-only__dynamic-change__seed-50011.json,1,look-twice.episode/v4,conformal-only,dynamic-change,50011,completed,,,False,False,True,False,,False,,False,,0.27724551148014864,clear,"[""clear"",""blocked""]",1,0,2.772292467326258,2c5983f58207613808713c069606bd5d55bd95a9900d5c9b220c1f0532fd9e71
