file,profile,scenario,policy,sensor_mode,viewpoint_policy,belief_ttl,event_delay,seed,noise_profile,noise_rate,obstacle_color,mission_success,safe_success,unsafe_crossing,wrong_detour,observation_count,replan_count,stale_count,path_length,elapsed_seconds,avg_gpu_perception_ms,avg_visible_fraction
majority-vote__dynamic-appears__seed-00.json,dynamic-appears,dynamic-appears,majority-vote,camera-rgbd,next-best,60,40,0,none,0.0,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,False,True,False,3,0,0,5.743997061625123,2.225660465657711,93.65640008449554,1.0
majority-vote__dynamic-appears__seed-01.json,dynamic-appears,dynamic-appears,majority-vote,camera-rgbd,next-best,60,40,1,none,0.0,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,False,True,False,3,0,0,5.743997061625123,2.2106280848383904,92.65828142563502,1.0
majority-vote__dynamic-appears__seed-02.json,dynamic-appears,dynamic-appears,majority-vote,camera-rgbd,next-best,60,40,2,none,0.0,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,False,True,False,3,0,0,5.743997061625123,2.215834738686681,93.33526486158371,1.0
majority-vote__dynamic-appears__seed-03.json,dynamic-appears,dynamic-appears,majority-vote,camera-rgbd,next-best,60,40,3,none,0.0,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,False,True,False,3,0,0,5.743997061625123,2.2226373963057995,92.85664127270381,1.0
majority-vote__dynamic-appears__seed-04.json,dynamic-appears,dynamic-appears,majority-vote,camera-rgbd,next-best,60,40,4,none,0.0,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,False,True,False,3,0,0,5.743997061625123,2.2286583222448826,93.76549988985062,1.0
majority-vote__dynamic-appears__seed-05.json,dynamic-appears,dynamic-appears,majority-vote,camera-rgbd,next-best,60,40,5,none,0.0,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,False,True,False,3,0,0,5.743997061625123,2.2191642094403505,92.65167683362961,1.0
majority-vote__high-occlusion__seed-00.json,high-occlusion,high-occlusion,majority-vote,camera-rgbd,next-best,60,40,0,none,0.0,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,3,0,0,7.920001542195678,2.801802070811391,243.7113441824913,0.5172413793103449
majority-vote__high-occlusion__seed-01.json,high-occlusion,high-occlusion,majority-vote,camera-rgbd,next-best,60,40,1,none,0.0,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,3,0,0,7.920001542195678,2.810919674113393,251.3961124420166,0.5172413793103449
majority-vote__high-occlusion__seed-02.json,high-occlusion,high-occlusion,majority-vote,camera-rgbd,next-best,60,40,2,none,0.0,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,3,0,0,7.920001542195678,2.8557797204703093,249.13448705275854,0.5172413793103449
majority-vote__high-occlusion__seed-03.json,high-occlusion,high-occlusion,majority-vote,camera-rgbd,next-best,60,40,3,none,0.0,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,3,0,0,7.920001542195678,2.799091700464487,244.31035886208215,0.5172413793103449
majority-vote__high-occlusion__seed-04.json,high-occlusion,high-occlusion,majority-vote,camera-rgbd,next-best,60,40,4,none,0.0,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,3,0,0,7.920001542195678,2.8541030902415514,244.81857512394586,0.5172413793103449
majority-vote__high-occlusion__seed-05.json,high-occlusion,high-occlusion,majority-vote,camera-rgbd,next-best,60,40,5,none,0.0,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,3,0,0,7.920001542195678,2.8023910485208035,252.62127808729807,0.5172413793103449
majority-vote__shifted-occluder__seed-00.json,shifted-occluder,shifted-occluder,majority-vote,camera-rgbd,next-best,60,40,0,random,0.15,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,3,0,0,5.343999555334449,2.1762714572250843,94.0042694012324,0.5783598110777157
majority-vote__shifted-occluder__seed-01.json,shifted-occluder,shifted-occluder,majority-vote,camera-rgbd,next-best,60,40,1,random,0.15,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,2,0,0,6.911996182054281,2.7417311910539865,372.87297081947327,0.6019755955839629
majority-vote__shifted-occluder__seed-02.json,shifted-occluder,shifted-occluder,majority-vote,camera-rgbd,next-best,60,40,2,random,0.15,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,3,0,0,5.343999555334449,2.1446686405688524,93.25940559307735,0.5783598110777157
majority-vote__shifted-occluder__seed-03.json,shifted-occluder,shifted-occluder,majority-vote,camera-rgbd,next-best,60,40,3,random,0.15,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,3,0,0,6.911996182054281,2.7416919227689505,247.51248715321222,0.6019755955839629
majority-vote__shifted-occluder__seed-04.json,shifted-occluder,shifted-occluder,majority-vote,camera-rgbd,next-best,60,40,4,random,0.15,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,2,0,0,5.343999555334449,2.142473801970482,140.12443873286247,0.5783598110777157
majority-vote__shifted-occluder__seed-05.json,shifted-occluder,shifted-occluder,majority-vote,camera-rgbd,next-best,60,40,5,random,0.15,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,3,0,0,6.911996182054281,2.740292951464653,245.21855586767197,0.6019755955839629
majority-vote__static-blocked__seed-00.json,static-blocked,blocked,majority-vote,camera-rgbd,next-best,60,40,0,random,0.15,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,3,0,0,7.920001542195678,2.857258317992091,245.81532208124796,0.5172413793103449
majority-vote__static-blocked__seed-01.json,static-blocked,blocked,majority-vote,camera-rgbd,next-best,60,40,1,random,0.15,"[0.8809428942133012, 0.39257945298237285, 0.7875195980809236]",True,True,False,False,2,0,0,7.920001542195678,2.7893505562096834,373.75964418053627,0.5172413793103449
majority-vote__static-blocked__seed-02.json,static-blocked,blocked,majority-vote,camera-rgbd,next-best,60,40,2,random,0.15,"[0.14919201082847602, 0.16588578907279433, 0.5337948222647048]",True,True,False,False,3,0,0,7.920001542195678,2.850576324388385,247.9663065870603,0.5172413793103449
majority-vote__static-blocked__seed-03.json,static-blocked,blocked,majority-vote,camera-rgbd,next-best,60,40,3,random,0.15,"[0.8586107082787581, 0.7080113051701622, 0.5428224907878393]",True,True,False,False,3,0,0,7.920001542195678,2.820052295923233,244.171371281147,0.5172413793103449
majority-vote__static-blocked__seed-04.json,static-blocked,blocked,majority-vote,camera-rgbd,next-best,60,40,4,random,0.15,"[0.24542886507451556, 0.33036398149535035, 0.7496255497389722]",True,True,False,False,2,0,0,7.920001542195678,2.7516226042062044,371.52408358454704,0.5172413793103449
majority-vote__static-blocked__seed-05.json,static-blocked,blocked,majority-vote,camera-rgbd,next-best,60,40,5,random,0.15,"[0.8323630451440069, 0.4550279765284868, 0.8833145453161386]",True,True,False,False,3,0,0,7.920001542195678,2.8089968357235193,243.82309450705847,0.5172413793103449
majority-vote__static-clear__seed-00.json,static-clear,clear,majority-vote,camera-rgbd,next-best,60,40,0,random,0.15,"[0.21783072626743466, 0.6245763312832413, 0.33158394253702084]",True,True,False,False,3,0,0,5.743997061625123,2.1927371583878994,95.4525786836942,1.0
